,E,sigma,E_err,sigma_err
0,40.0,0.14864085668419558,10.0,0.0035262782978022073
1,75.0,0.08725393293362328,25.0,0.003129920542353372
2,125.0,0.054281303897116065,25.0,0.0015979222615807517
3,175.0,0.04108601103663476,25.0,0.001332683076615323
4,225.0,0.030723346050293778,25.0,0.0011739523434960396
5,275.0,0.029512559439229313,25.0,0.001979347088221369
6,325.0,0.028813336975146583,25.0,0.0015607549547749164
7,375.0,0.020770015536193478,25.0,0.001939508664225549
8,425.0,0.01650682516481768,25.0,0.000900749507638971
9,475.0,0.01519769153886683,25.0,0.000887001217002358
10,525.0,0.01449259010834883,25.0,0.0008384277971286878
11,575.0,0.012442645784190022,25.0,0.0006715711051307367
12,625.0,0.010899619452734802,25.0,0.0007420383133037913
13,675.0,0.00976043681871638,25.0,0.0006874691709608683
14,725.0,0.009923230676530595,25.0,0.0005238817214498221
15,775.0,0.009730018563104459,25.0,0.0006522046279968359
